,county,state,total_percentage16,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton, total_percentage20 ,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,lat,long,cases,deaths,percentage_deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomePerCap,Poverty,Professional,Service,Office,Construction,Production,SelfEmployed,FamilyWork,Unemployment,Total_Mail_Ballots_Returned20,Mail_Ballots_Returned_Trump20,Mail_Ballots_Returned_Biden20
391,Washington,WI,2.59,67.80,27.40,76246,51729,20854, 2.67 ,68.40,30.30,88070,60237,26650,43.36863664,-88.22974712,4887,44,1.68,133967,66558,67409,3.1,93.3,1.1,0.2,1.2,0,102234,73021,36177,5.5,36.6,14.7,24.3,8.4,16,4.4,0.1,3.4,33473.31,16630.55,16842.77
392,Waukesha,WI,8.02,61.60,33.50,236269,145519,79199, 8.13 ,59.60,38.80,267957,159633,103867,43.01833055,-88.30431188,13463,125,4.77,396731,194879,201852,4.6,89.2,1.5,0.2,3.2,0,300815,81140,42094,5,45.6,13,24.3,6.4,10.7,4.1,0.1,3.3,101844.08,50599.19,51244.89
393,Waupaca,WI,0.87,62.80,32.60,25491,16013,8303, 0.88 ,65.10,33.30,29130,18952,9703,44.47068056,-88.96534501,2616,47,1.79,51651,26305,25346,3,94.6,0.4,0.5,0.4,0,40177,54071,29423,11,26.6,18.7,19.2,11.7,23.7,6.2,0.2,3.8,11071.62,5500.71,5570.91
394,Waushara,WI,0.41,64.10,31.80,11961,7669,3802, 0.41 ,66.50,32.30,13568,9016,4388,44.11324419,-89.24317107,1107,5,0.19,24170,12679,11491,6.4,89.6,1.6,0.4,0.4,0,19213,48412,25838,11.1,25.2,17.7,19.5,14.5,23.1,8,0.3,5,5156.87,2562.09,2594.78
395,Winnebago,WI,2.92,50.60,43.10,85892,43447,37054, 2.86 ,50.80,46.80,94160,47796,44060,44.06886922,-88.64477096,9438,67,2.56,169540,85384,84156,3.9,89.3,2.1,0.6,2.6,0,131718,55128,29763,12.2,31.4,17,24.4,7,20.2,3.8,0.1,3.6,35787.98,17780.54,18007.44
396,Wood,WI,1.28,57.00,37.70,37712,21502,14232, 1.25 ,59.00,39.70,41197,24307,16360,44.45537896,-90.04158336,1933,10,0.38,73427,36265,37162,2.8,92.7,0.7,0.6,2,0,56606,51603,29039,11.1,31.5,15.8,21.8,9.9,21,6,0.2,4.8,15658.00,7779.36,7878.64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
