,county,state,total_percentage16,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton, total_percentage20 ,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,lat,long,cases,deaths,percentage_deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomePerCap,Poverty,Professional,Service,Office,Construction,Production,SelfEmployed,FamilyWork,Unemployment,Total_Mail_Ballots_Returned20,Mail_Ballots_Returned_Trump20,Mail_Ballots_Returned_Biden20
267,Butler,PA,1.54,66.70,29.20,92027,61388,26834, 1.63 ,65.80,32.90,110960,73023,36534,40.91152759,-79.91351055,1892,28,1.07,185984,91847,94137,1.4,95,0.9,0.1,1.1,0,145821,66037,35101,8.4,38.8,16.1,23.7,9.1,12.3,5,0.2,4.5,37927.52,10161.39,
268,Cambria,PA,1.01,67.30,29.60,60167,40510,17798, 1.04 ,68.10,30.80,70600,48092,21749,40.49527404,-78.71377428,1225,9,0.34,135871,66777,69094,1.5,93,3.2,0,0.5,0,108887,44943,24838,15.6,33.1,19.8,22.9,9.8,14.3,4.3,0.1,7.5,24131.97,6465.34,
269,Cameron,PA,0.03,73.90,23.20,2024,1495,469, 0.04 ,72.80,26.00,2434,1771,634,41.43625568,-78.20376845,10,0,0.00,4754,2419,2335,0.8,96.6,1.1,0.2,0.4,0,3883,40402,24933,14.4,23.1,18.8,16.9,11.9,29.2,6.8,0.5,4.1,831.97,222.90,
270,Carbon,PA,0.48,65.20,31.00,28721,18714,8917, 0.49 ,65.40,33.30,33018,21607,10990,40.91545395,-75.7068525,616,31,1.18,63987,31716,32271,4.3,92.4,1.7,0,0.5,0,50899,51236,25680,12.8,27.5,18.4,22.6,11.6,19.9,4.7,0.1,7.6,11285.97,3023.69,
271,Centre,PA,1.26,46.60,48.50,75394,35099,36555, 1.14 ,46.90,51.70,77490,36371,40054,40.92058903,-77.82200624,4292,19,0.73,160646,84313,76333,2.8,85.8,3.6,0.1,6,0,127511,56466,28545,18.4,46.8,18.1,19.7,6.5,8.9,5.3,0.2,4.6,26487.05,7096.31,
272,Chester,PA,4.47,43.30,52.60,266637,115582,140188, 4.57 ,40.80,57.60,310650,126844,179065,39.97291773,-75.74768357,8198,381,14.54,514652,253509,261143,7.2,80.2,5.7,0.1,4.9,0,369972,92417,46256,6.9,49.7,13.7,21.9,7.3,7.4,5.4,0.1,4.8,106184.07,28448.42,
273,Clarion,PA,0.29,71.80,24.30,17481,12545,4256, 0.28 ,74.80,24.00,19213,14363,4615,41.19265812,-79.42413524,245,4,0.15,38747,18932,19815,0.8,96.3,1,0.2,0.5,0,31269,44373,23595,17.5,30.1,22.9,19.3,11.4,16.3,6.5,0.3,6.6,6567.24,1759.47,
274,Clearfield,PA,0.55,73.10,23.60,32692,23909,7700, 0.58 ,74.10,24.50,39124,28984,9598,41.00110782,-78.47592663,502,7,0.27,80539,41950,38589,2.9,93.1,2.5,0.2,0.6,0,63655,45188,22568,15.3,26.7,19.7,21.1,11.7,20.7,6.9,0.2,8.2,13373.07,3582.86,
275,Clinton,PA,0.25,65.40,30.50,14839,9701,4533, 0.26 ,67.50,31.20,17608,11889,5498,41.23255967,-77.63785995,282,7,0.27,39321,19293,20028,1.4,95.3,1.4,0.1,0.7,0,31060,47990,22794,17.2,26.2,20.7,22.1,12.2,18.8,4.5,0.2,5.9,6018.64,1612.49,
276,Columbia,PA,0.45,64.10,31.30,27127,17387,8502, 0.45 ,64.60,33.70,30569,19752,10289,41.04821986,-76.40565017,1079,43,1.64,66615,32085,34530,2.6,93.4,1.8,0.1,1.2,0,54036,48395,24908,15.9,32.2,18,22,8.3,19.5,5.3,0.2,5.1,10448.87,2799.42,
277,Crawford,PA,0.60,67.20,28.70,35563,23912,10215, 0.60 ,68.10,30.70,41125,28002,12610,41.68447709,-80.10760592,585,3,0.11,86847,42498,44349,1.2,95.1,1.9,0.1,0.4,0,67896,47179,24716,14.5,29.8,18.3,20.3,10.4,21.2,8,0.2,6,14057.04,3766.11,
278,Cumberland,PA,1.93,57.10,38.50,115068,65649,44282, 2.05 ,54.60,43.90,139399,76149,61168,40.1625372,-77.26130755,2566,81,3.09,245801,121449,124352,3.5,86.9,3.5,0.1,4,0,189160,65544,34246,7.8,40.6,15.4,25,6.2,12.7,4.9,0.2,4.2,47648.33,12765.75,
279,Dauphin,PA,2.18,46.60,49.40,130160,60620,64287, 2.12 ,45.10,53.60,144482,65154,77397,40.41377078,-76.77993242,4998,196,7.48,273329,132330,140999,8.5,67.1,17.7,0.1,3.9,0,203188,57071,31152,13.2,38.4,17.9,25.2,6,12.4,4.2,0.2,5.7,49385.76,13231.24,
280,Delaware,PA,4.77,37.40,59.40,284832,106559,169169, 4.78 ,36.20,62.60,325464,117843,203601,39.91680171,-75.40243663,14001,771,29.43,563384,270775,292609,3.6,68,20.7,0.1,5.4,0,415663,69839,36747,10.4,43,17.5,23.9,6.6,9.1,4.6,0.1,6.8,111247.68,29805.04,
281,Elk,PA,0.23,70.00,26.30,13854,9704,3637, 0.25 ,71.80,26.80,16713,11993,4478,41.42822061,-78.64524744,198,2,0.08,30781,15435,15346,0.8,97.6,0.5,0.2,0.4,0,24631,49876,27163,9.4,26.3,14,18.6,8.4,32.8,5.3,0.3,4.8,5712.71,1530.53,
282,Erie,PA,1.96,48.80,46.80,117240,57168,54820, 2.02 ,48.80,49.80,137184,66912,68336,41.99253829,-80.03301954,2261,40,1.53,277794,137134,140660,4,84.8,6.8,0.2,1.6,0,211830,48192,26361,16.8,33.7,20.6,23.2,7.2,15.3,4.6,0.1,6.5,46891.21,12562.91,
283,Fayette,PA,0.89,64.40,33.40,53426,34388,17826, 0.88 ,66.70,32.60,59941,39978,19518,39.92041012,-79.64291195,1074,15,0.57,133160,65640,67520,1.1,92.1,3.9,0,0.2,0.2,106492,41632,24247,18.8,27.7,19.6,22.8,11.8,18.1,4.3,0.1,7.5,20488.59,5489.22,
284,Forest,PA,0.04,70.10,26.10,2398,1680,626, 0.04 ,71.10,27.30,2621,1864,715,41.51095103,-79.23229292,19,1,0.04,7388,5972,1416,7,59.7,30.8,0.2,0.7,0,6643,37106,14989,14.1,24.5,22.6,24.8,11.1,17,10.7,0.5,5.4,895.89,240.02,
285,Franklin,PA,1.16,71.50,25.00,69345,49554,17322, 1.19 ,70.80,27.80,80896,57308,22468,39.92956518,-77.72157791,2329,55,2.10,153003,75535,77468,5.3,88.6,3.8,0.2,1,0,115719,58267,28985,10.4,30.8,17.1,23.1,10.4,18.5,5.9,0.2,5.7,27651.27,7408.22,
286,Fulton,PA,0.11,84.20,13.40,6743,5676,904, 0.12 ,85.50,13.60,7978,6824,1085,39.92913544,-78.11163677,95,4,0.15,14631,7376,7255,1.2,96.3,1.5,0.3,0.1,0,11525,50007,25273,11.5,25.7,16.9,20,14.2,23.2,6.6,0.4,6.5,2726.98,730.60,
287,Greene,PA,0.25,69.50,27.80,14955,10394,4157, 0.26 ,71.20,27.80,17635,12556,4900,39.85746531,-80.22357106,268,1,0.04,37338,19397,17941,1.5,93.6,3.1,0.1,0.4,0,30045,50972,25574,14.8,30.7,19.3,19.7,16.4,13.8,3.2,0.1,5.7,6027.86,1614.96,
288,Huntingdon,PA,0.33,73.70,23.00,19496,14369,4487, 0.33 ,74.80,23.90,22793,17059,5448,40.42162652,-77.97673273,1041,19,0.73,45686,24129,21557,1.9,90.9,5,0.1,0.5,0,36688,46765,22908,13.6,28.4,20.8,20.7,13.8,16.3,6.2,0.1,6.7,7790.93,2087.32,
289,Indiana,PA,0.63,66.10,30.40,37728,24920,11468, 0.61 ,68.20,30.70,41196,28087,12634,40.65241041,-79.08963285,1222,17,0.65,86551,43449,43102,1.3,93.9,2.2,0.2,1.1,0,69989,46306,25014,16.6,30,19.5,22.7,12.5,15.3,6.7,0.2,7.8,14081.31,3772.61,
290,Jefferson,PA,0.31,78.30,18.50,18551,14533,3437, 0.33 ,78.80,19.80,22761,17928,4498,41.12913106,-78.9986361,226,4,0.15,44258,21963,22295,0.8,97.3,0.6,0.2,0.3,0,34790,45342,23895,14.2,26.3,17.3,19.7,13.8,22.9,7.5,0.3,4.7,7780.00,2084.39,
291,Juniata,PA,0.17,79.20,17.40,10402,8234,1810, 0.18 ,80.10,18.70,12042,9648,2253,40.53358749,-77.3997513,248,8,0.31,24448,12210,12238,3.2,94.8,1.1,0,0.3,0,18662,50571,24068,13.1,26.2,14.9,19.9,15.5,23.5,7.6,0.3,4.4,4116.11,1102.77,
292,Lackawanna,PA,1.72,46.80,50.20,102740,48102,51593, 1.68 ,45.20,53.60,113975,51501,61124,41.43564672,-75.60379201,3875,219,8.36,211960,102652,109308,6.7,86.6,2.6,0.1,2.5,0,163823,48380,27258,15.4,35.1,17.2,24.8,8.3,14.7,4.8,0.2,5.4,38958.09,10437.50,
293,Lancaster,PA,4.01,57.30,37.70,239151,137145,90066, 4.12 ,57.00,41.10,280485,159902,115294,40.03904563,-76.24770128,9929,479,18.28,536494,262686,273808,10,82.7,3.6,0.1,2.1,0,397192,61492,29280,10.4,33.3,16,23,10.6,17,6.8,0.2,4.7,95873.29,25686.00,
294,Lawrence,PA,0.68,62.40,34.40,40555,25323,13933, 0.67 ,64.30,34.60,45558,29290,15772,40.99206278,-80.33393706,957,35,1.34,88231,42663,45568,1.3,92,3.5,0.1,0.5,0,70117,47188,26918,14,30.6,18.5,23.6,9.8,17.4,5.5,0.2,6.5,15572.30,4172.07,
295,Lebanon,PA,0.99,65.90,30.30,58906,38804,17860, 1.04 ,65.30,33.40,70890,46267,23646,40.36680311,-76.45651841,3215,67,2.56,137616,67390,70226,12.2,83.4,1.8,0.1,1.3,0,103979,57698,27916,10.5,30.1,18.4,24,9.5,18,6.3,0.2,5.8,24231.09,6491.90,
296,Lehigh,PA,2.56,45.90,50.40,153031,70285,77087, 2.65 ,45.60,53.20,180284,82287,95889,40.6154815,-75.59435245,6863,366,13.97,360774,176067,184707,22.8,66.5,5.4,0.1,3.3,0,263430,60116,30988,13.3,35.1,16.6,24.7,7.1,16.6,4.2,0.1,7,61623.33,16509.88,
297,Luzerne,PA,2.22,58.40,38.80,132731,77508,51454, 2.23 ,56.80,42.20,151727,86127,64100,41.17823008,-75.98447579,5624,206,7.86,318222,156922,161300,10.1,83.8,3.5,0.1,1.2,0,246670,49290,26809,15.2,31,17.8,25.9,7.9,17.3,4.5,0.2,7,51862.19,13894.71,
298,Lycoming,PA,0.84,70.50,25.70,50294,35475,12926, 0.87 ,70.00,28.60,59221,41439,16961,41.34310539,-77.06629984,1004,32,1.22,115398,56644,58754,1.9,90.7,4.8,0.1,0.6,0,90774,50634,26265,14,30.4,19.9,24.1,9.2,16.5,5.1,0.2,6.2,20242.48,5423.29,
299,McKean,PA,0.26,71.70,24.40,15572,11159,3802, 0.29 ,72.40,26.10,19427,14067,5076,41.80938602,-78.56478358,162,2,0.08,42070,21802,20268,2.1,93.5,2.5,0.1,0.4,0,33352,45866,24868,17.3,29.4,21,17.9,10.9,20.7,5.7,0.1,7.5,6640.39,1779.07,
300,Mercer,PA,0.83,60.60,35.60,49594,30034,17631, 0.83 ,62.50,36.20,56420,35282,20426,41.30248872,-80.25816981,1146,27,1.03,113623,55992,57631,1.4,90.3,5.7,0.1,0.7,0,90091,47340,25499,13.7,30.6,21.2,22.8,8.4,17.1,5.9,0.2,5.8,19285.06,5166.78,
301,Mifflin,PA,0.31,77.00,19.50,18239,14050,3563, 0.32 ,77.50,21.40,21491,16663,4599,40.61116939,-77.61070738,457,4,0.15,46452,22748,23704,1.4,96.1,0.6,0.1,0.6,0,35727,46286,23568,13.5,25.2,19.4,18.7,12.6,24.1,6.8,0.2,4.2,7345.89,1968.08,
302,Monroe,PA,1.10,48.10,48.40,65944,31706,31930, 1.23 ,46.30,52.50,83499,38640,43844,41.05934058,-75.34031025,2081,135,5.15,167306,82610,84696,14.9,67.6,13,0.2,2.2,0,127290,61430,27439,11.1,32.5,20.2,24.5,8.8,14,5.1,0.1,9.2,28541.01,7646.59,
303,Montgomery,PA,7.16,37.60,58.70,427489,160803,251063, 7.37 ,36.50,62.50,501561,182907,313543,40.21053671,-75.36652296,14421,895,34.16,818677,397990,420687,4.9,76.6,8.8,0.1,7.3,0,605802,84791,45048,6.4,49.8,13.1,23,6.2,7.9,5.4,0.1,5.2,171439.85,45931.49,
304,Montour,PA,0.14,61.80,33.40,8535,5274,2851, 0.14 ,59.50,38.40,9812,5842,3768,41.03023987,-76.66345939,311,11,0.42,18302,8858,9444,2.5,92.1,1.8,0,3.1,0,14364,56250,31818,10.5,38,16.9,22.8,7.9,14.4,5,0,4.4,3353.86,898.55,
305,Northampton,PA,2.39,50.00,46.20,142775,71384,65936, 2.49 ,48.90,49.70,169403,82830,84145,40.75182733,-75.30471829,5619,315,12.02,300941,147829,153112,12.4,77.9,4.7,0.1,2.8,0,231519,65390,32608,9.2,35.4,17.3,24.8,8.3,14.3,4.6,0.1,5.7,57904.07,15513.43,
306,Northumberland,PA,0.59,69.80,26.30,34971,24418,9184, 0.62 ,68.40,30.00,42335,28975,12703,40.84785433,-76.70798222,1594,112,4.27,93038,46851,46187,3.2,93,2.5,0.2,0.3,0,74279,44534,24278,14.4,27.9,20.8,21.3,10.1,19.9,5.5,0.2,5.1,14470.63,3876.92,
307,Perry,PA,0.35,73.80,21.90,21153,15613,4630, 0.36 ,74.20,24.10,24652,18293,5950,40.40206612,-77.26297447,382,6,0.23,45878,23135,22743,1.8,95.8,0.9,0.2,0.4,0,35551,60847,28900,8.4,30.4,14.1,23.5,14.7,17.3,7.2,0.3,4.3,8426.36,2257.56,
308,Philadelphia,PA,11.39,15.50,82.40,680227,105418,560542, 10.42 ,18.10,81.20,709271,128325,576275,40.00338507,-75.1379271,44505,1875,71.56,1569657,742412,827245,14.1,34.9,41.3,0.2,7,0,1128642,40649,24811,25.8,37.7,23.1,22.4,5.9,10.9,4,0.1,11.3,242437.73,64952.96,
309,Pike,PA,0.44,61.50,35.50,26066,16035,9247, 0.48 ,59.00,40.00,32616,19241,13052,41.33155042,-75.03208106,634,23,0.88,55687,27956,27731,10.3,81.1,5.7,0.1,1.2,0,43397,63417,31156,9.9,32.5,19.6,24.7,13.4,9.7,7,0.3,7.8,11148.56,2986.88,
310,Potter,PA,0.13,80.30,16.70,7777,6247,1300, 0.13 ,80.00,18.90,8901,7117,1686,41.74471626,-77.89559864,60,1,0.04,17070,8604,8466,1.2,96.7,0.4,0.2,0.3,0,13425,41406,23213,14.4,29.5,16.7,18,13.5,22.2,9.1,0.2,6.7,3042.47,815.13,
311,Schuylkill,PA,1.05,70.00,26.70,62750,43937,16724, 1.02 ,69.20,29.40,69522,48100,20425,40.70497338,-76.2150785,2188,97,3.70,144287,73691,70596,3.8,91.7,2.6,0.1,0.5,0,114513,47642,25224,12.5,27.9,16.3,22.5,10.9,22.4,4.9,0.1,6.9,23763.49,6366.62,
312,Snyder,PA,0.27,71.70,24.40,16333,11710,3991, 0.28 ,72.90,25.60,18945,13816,4848,40.77129231,-77.06840691,511,18,0.69,40570,20076,20494,2.2,95.2,0.8,0.1,0.7,0,31496,54182,24961,11.3,26.5,18.6,22.7,11.9,20.3,6.5,0.4,3.6,6475.64,1734.93,
313,Somerset,PA,0.60,76.50,20.60,35730,27347,7367, 0.59 ,77.60,21.30,40062,31105,8543,39.97172723,-79.02699593,474,3,0.11,75619,39289,36330,1.4,94.6,2.6,0.1,0.4,0,61414,46132,23877,12.7,28.3,19.6,20.8,12.6,18.7,7.3,0.6,6.1,13693.69,3668.76,
314,Sullivan,PA,0.05,73.20,23.90,3168,2318,756, 0.05 ,72.90,25.60,3599,2622,921,41.44634738,-76.51246591,21,1,0.04,6192,3234,2958,1.8,93.1,2.5,0.5,0.5,0,5382,45519,26720,13.1,25,17.9,18.3,21.3,17.6,10.5,0.7,8.8,1230.18,329.59,
315,Susquehanna,PA,0.32,69.20,26.40,19200,13295,5065, 0.31 ,69.80,28.50,21325,14879,6084,41.82147784,-75.80071959,420,28,1.07,41716,20988,20728,1.7,96.4,0.6,0.2,0.4,0,33455,52014,27823,13,27.2,17.4,21.3,14.8,19.3,9.2,0.4,6.7,7289.15,1952.88,
316,Tioga,PA,0.29,74.60,21.00,17334,12928,3642, 0.31 ,74.70,23.50,21087,15750,4958,41.77255149,-77.25433032,253,3,0.11,41550,20599,20951,1.2,96.3,0.6,0.1,0.5,0,33019,50017,25353,13.4,29.4,18.5,20.6,12.1,19.4,8.8,0.3,6.4,7207.80,1931.09,
317,Union,PA,0.29,60.90,35.30,17400,10605,6138, 0.30 ,61.50,36.70,20078,12342,7377,40.96188846,-77.05996014,745,11,0.42,45056,24776,20280,5.7,84.4,6.2,0.5,1.7,0,36264,53768,25089,10.2,34.9,20.7,18.8,10.4,15.2,8,0.6,3.4,6862.91,1838.68,
318,Venango,PA,0.37,69.00,26.70,22096,15254,5889, 0.39 ,69.80,28.50,26198,18286,7475,41.40323442,-79.75845449,297,1,0.04,52880,26094,26786,1.1,96.1,0.9,0,0.4,0,42057,46487,25190,13.6,28.9,19.7,22.8,9.3,19.2,6.3,0.2,7.6,8954.81,2399.14,
319,Warren,PA,0.30,68.30,27.40,17624,12032,4828, 0.30 ,68.70,29.30,20401,14020,5987,41.81304978,-79.26969577,71,1,0.04,40345,20152,20193,1,97,0.5,0.1,0.5,0,32229,45781,26558,13.4,30.7,16.1,20.9,10.3,21.9,7.3,0.4,5.7,6973.32,1868.26,
320,Washington,PA,1.62,60.80,35.50,96945,58941,34436, 1.73 ,60.80,38.10,117443,71397,44746,40.19208869,-80.24582867,2153,37,1.41,207661,101746,105915,1.6,92.5,2.9,0.1,0.9,0,165043,59309,32828,9.7,35.8,16.8,23.7,11.2,12.6,4.8,0.1,5.8,40143.49,10755.09,
321,Wayne,PA,0.37,68.30,28.60,22365,15269,6398, 0.41 ,66.40,32.70,28077,18630,9186,41.64938475,-75.29956506,294,12,0.46,51656,27404,24252,4.2,91,3.1,0.2,0.6,0,42291,52161,25569,11.1,29.9,19.6,22.4,13.4,14.7,9.6,0.3,6.5,9597.07,2571.21,
322,Westmoreland,PA,3.04,64.10,32.70,181740,116427,59506, 2.98 ,63.50,35.10,202492,128596,71099,40.3137798,-79.46615476,4538,104,3.97,356835,174211,182624,1.1,94.1,2.3,0,0.9,0,288227,56702,31827,10.3,36.2,16.7,23.4,9,14.7,4.8,0.1,4.9,69214.31,18543.62,
323,Wyoming,PA,0.21,67.40,28.80,12418,8375,3573, 0.22 ,66.90,31.70,14858,9936,4704,41.51955538,-76.01074915,171,8,0.31,27760,13958,13802,1.8,95.8,0.7,0.1,0.4,0,22052,55965,28046,10.4,25.2,17.7,24,14.4,18.7,5.8,0.1,6.5,5078.65,1360.65,
324,York,PA,3.40,62.50,33.20,203153,126933,67428, 3.43 ,61.50,36.70,233060,143415,85491,39.9210089,-76.73040131,6742,207,7.90,442216,218524,223692,6.9,84.3,5.2,0.1,1.4,0,336393,61707,30178,10.3,33.3,16,23.7,9.4,17.6,4.8,0.1,5.4,79662.83,21342.95,
325,Adams,WI,0.34,59.20,37.40,10107,5983,3780, 0.36 ,62.30,36.60,11818,7362,4329,43.96974651,-89.76782777,587,5,0.19,20111,10770,9341,3.8,90.7,2.7,0.6,0.5,0,16837,44003,24874,13,23.6,22.7,21.8,12.5,19.4,7.3,0.2,8.1,4491.74,2231.63,2260.11
326,Ashland,WI,0.27,43.30,52.20,7926,3428,4136, 0.27 ,43.90,54.80,8757,3841,4801,46.31956891,-90.67837132,301,3,0.11,15779,7954,7825,2.6,82.7,0.4,10.6,0.4,0,12169,41505,22983,14.6,31.2,23.5,20.4,10,14.9,6.6,0,7.2,3328.33,1653.61,1674.71
327,Barron,WI,0.76,60.40,35.00,22514,13595,7881, 0.77 ,62.30,36.30,25346,15803,9194,45.42372701,-91.84833627,1320,7,0.27,45358,22759,22599,2.4,93.8,1.2,0.8,0.7,0,35066,49257,26935,11.5,28.9,16.2,19.2,12.1,23.5,8.6,0.3,3.6,9633.41,4786.17,4847.24
328,Bayfield,WI,0.32,43.50,52.20,9491,4125,4953, 0.33 ,42.40,56.50,10880,4617,6147,46.52868768,-91.19716729,280,2,0.08,15004,7642,7362,1.7,85,0.6,10,0.5,0,12246,50110,28272,11,36,20.4,18.5,13.9,11.3,10.6,0.5,5.5,4135.23,2054.51,2080.72
329,Brown,WI,4.33,52.70,41.90,127497,67192,53358, 4.37 ,52.70,45.50,144011,75865,65509,44.4526553,-88.00411844,16210,103,3.93,258004,128020,129984,8.3,81.6,2.2,2.2,3.1,0,186738,56775,29874,11.3,34.3,16.1,24.9,8.3,16.4,4.3,0.1,4.4,54735.15,27194.07,27541.09
330,Buffalo,WI,0.24,58.50,36.60,6921,4049,2531, 0.24 ,61.80,36.60,7816,4834,2860,44.37835084,-91.75332578,338,3,0.11,13243,6740,6503,2.2,95.9,0.5,0.3,0,0,10326,54753,28286,10.7,30.5,14.8,19.7,14.3,20.7,10.2,0.3,3.5,2970.68,1475.92,1494.75
331,Burnett,WI,0.30,62.10,33.80,8719,5412,2948, 0.31 ,63.70,35.20,10141,6462,3569,45.86303537,-92.36711412,328,6,0.23,15239,7798,7441,1.7,90.6,0.5,4.1,0.3,0,12409,45891,26308,14.6,29.1,20.4,19.9,13.6,16.9,9,0.4,5.1,3854.35,1914.96,1939.39
332,Calumet,WI,0.90,58.10,36.50,26429,15345,9634, 0.93 ,59.00,39.40,30774,18156,12116,44.0816316,-88.21780273,2857,14,0.53,49737,24812,24925,4.1,91.4,0.8,0.6,2.2,0,36855,70662,32713,5.9,34.9,12.4,23.9,8.5,20.2,4.2,0.2,2,11696.47,5811.15,5885.31
333,Chippewa,WI,1.07,56.90,37.70,31471,17912,11875, 1.09 ,59.30,39.00,35945,21316,14001,45.06939744,-91.28068855,1958,24,0.92,63445,33015,30430,1.7,93.9,1.3,0.2,1.3,0,48783,55240,27020,10.7,30,16.7,20.5,11,21.8,7.4,0.3,3.7,13661.84,6787.61,6874.23
334,Clark,WI,0.46,63.80,31.20,13548,8645,4225, 0.45 ,67.10,30.40,14898,10002,4524,44.73483377,-90.61207486,1021,17,0.65,34513,17507,17006,4.4,93.5,0.4,0.2,0.4,0,23756,49131,23437,13.2,27.9,14.5,17.3,15.1,25.2,14.4,0.8,3.3,5662.38,2813.24,2849.14
335,Columbia,WI,0.99,48.30,46.20,29287,14160,13525, 1.03 ,50.00,48.50,33869,16927,16410,43.46492199,-89.33589004,1945,7,0.27,56790,29007,27783,3.1,93.1,1.3,0.4,0.6,0,43693,63293,31290,8.3,32.6,15.7,23,11.6,17.1,5.6,0.3,3.8,12872.80,6395.59,6477.21
336,Crawford,WI,0.26,50.10,44.60,7678,3844,3426, 0.26 ,53.10,45.50,8695,4620,3953,43.23870316,-90.93073686,389,1,0.04,16313,8469,7844,1.3,94.9,1.7,0.4,0.5,0,12833,47331,24391,13,27.1,17.9,20.7,11.9,22.4,8.1,0.1,4.1,3304.76,1641.91,1662.86
337,Dane,WI,10.35,23.40,71.40,304729,71270,217506, 10.46 ,22.90,75.50,344745,78789,260157,43.06601594,-89.41733797,16011,49,1.87,522837,259686,263151,6.3,80.2,5,0.2,5.6,0,388117,67631,37193,12.4,49.9,15.5,21.1,5.3,8.1,4.3,0.1,3.8,131029.37,65099.32,65930.05
338,Dodge,WI,1.45,62.20,32.60,42818,26643,13968, 1.47 ,64.70,33.80,48436,31355,16356,43.41576662,-88.70928178,4746,35,1.34,87833,46032,41801,4.6,90.3,2.4,0.6,0.5,0,68608,56038,27000,8.8,26.3,16.1,21.1,10.9,25.6,5.7,0.3,4.8,18409.37,9146.33,9263.04
339,Door,WI,0.59,49.30,46.10,17398,8584,8026, 0.61 ,48.50,49.90,20117,9752,10044,44.95856458,-87.30002707,953,9,0.34,27443,13602,13841,2.9,94.3,0.5,0.5,0.5,0,22609,56494,34253,8.4,33.1,16.7,21.9,10.9,17.4,8.6,0.3,4.6,7645.99,3798.76,3847.23
340,Douglas,WI,0.75,43.50,51.10,22185,9657,11342, 0.75 ,44.30,53.60,24677,10923,13218,46.43222285,-91.91595768,843,1,0.04,43503,21734,21769,1.5,91.9,1.2,1.7,1,0,34319,50730,27844,14.2,31.7,21,22.5,9.5,15.3,4.2,0.2,5.6,9379.14,4659.84,4719.30
341,Dunn,WI,0.75,52.10,41.00,22029,11487,9025, 0.71 ,56.00,42.10,23524,13173,9897,44.94562799,-91.8962481,1193,1,0.04,44260,22296,21964,1.8,93.1,0.5,0.2,2.5,0,34818,54605,26354,12.8,32.3,17.2,22.3,9.8,18.5,7,0.2,4.7,8940.91,4442.11,4498.80
342,Eau Claire,WI,1.84,43.10,50.40,54080,23301,27271, 1.77 ,43.50,54.30,58275,25341,31620,44.726614,-91.28609183,3960,21,0.80,102388,50371,52017,2.3,90.6,0.8,0.4,3.5,0.4,79895,52178,27780,14.5,34.5,18.9,24.8,6.6,15.3,5.3,0.2,4,22148.94,11004.26,11144.68
343,Florence,WI,0.09,71.60,25.10,2651,1897,666, 0.09 ,72.60,26.60,2940,2133,781,45.84963535,-88.39804137,223,8,0.31,4354,2260,2094,0.9,98.5,0.3,0,0,0,3630,47827,28211,8.4,27.9,19,22.4,12.3,18.4,6.9,0.4,6.4,1117.42,555.17,562.25
344,Fond du Lac,WI,1.74,60.80,34.00,51094,31044,17391, 1.74 ,62.50,36.00,57251,35754,20588,43.75354908,-88.48885325,5111,23,0.88,102082,49962,52120,5,90.3,1.2,0.5,1.4,0,77450,57798,29431,8.5,30.2,16.6,21.1,11,21.1,4.9,0.2,4,21759.74,10810.89,10948.85
345,Forest,WI,0.15,61.80,35.10,4507,2787,1583, 0.15 ,65.10,34.10,5052,3287,1722,45.66678019,-88.77084892,505,11,0.42,9035,4574,4461,2.2,79.7,0.9,14.3,0.4,0.1,7137,43356,23936,17.5,27.8,20.1,20.6,13.8,17.7,8.8,0.1,8.3,1920.14,953.99,966.16
346,Grant,WI,0.82,51.30,41.80,24051,12347,10047, 0.78 ,55.20,42.90,25608,14142,10998,42.8671731,-90.7063218,2043,36,1.37,51742,26915,24827,1.5,95.3,1.3,0.2,0.8,0,40781,50522,23753,15.3,30,18.3,22.2,11.9,17.7,7.8,0.7,3.5,9732.99,4835.64,4897.35
347,Green,WI,0.64,46.30,48.50,18791,8693,9121, 0.65 ,47.50,50.70,21406,10169,10851,42.6794956,-89.60243287,1058,6,0.23,36869,18265,18604,3,94.5,0.4,0.1,0.7,0,27942,60609,30208,8.9,34.1,14.2,22.9,10.7,18,8.1,0.3,2.6,8135.91,4042.16,4093.75
348,Green Lake,WI,0.32,66.70,29.00,9315,6210,2700, 0.32 ,67.20,31.30,10671,7168,3344,43.80025981,-89.04679553,815,4,0.15,18745,9405,9340,4.6,92.9,0.6,0.3,0.3,0,14076,50276,26372,11.4,27.5,14.4,20.7,12.9,24.5,7.9,0.2,3.4,4055.79,2015.04,2040.75
349,Iowa,WI,0.41,39.70,55.00,12123,4809,6669, 0.42 ,42.20,55.90,13992,5909,7828,43.00050278,-90.13469017,569,2,0.08,23576,11870,11706,1.7,95.6,0.7,0.3,0.6,0.1,17902,60017,31717,9,33.4,14.8,22.8,12.5,16.4,8.3,0.3,3.5,5318.03,2642.15,2675.87
